experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list,model_variant,constrains_type
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.0432306202654211,616,143,0,16798,0.0353738371425086,0.9999999999300698,0.9999999999837662,0.5176869185362892,0.0,0.5176869185712645,1.818144301068969e-05,NodeOCGINLossConstrains,train_node_ocgin_supression,4.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.8947997949535798,15606,104,39,1808,0.8961754909837508,0.727272727221869,0.9975071907951436,0.8117241091028099,0.2727272727082008,0.885513705313866,0.0321669355034828,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,0.5002974271774292,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.942587002335251,16417,132,11,997,0.9427472148840342,0.9230769230123722,0.9993304114919652,0.9329120689482032,0.0769230769176976,0.9237469490426882,3.200453306817508e-07,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.9602437774107194,16808,51,92,606,0.9652004134598798,0.3566433566184165,0.9945562130171628,0.6609218850391482,0.6433566433116533,0.6477978493310985,3.311053296783939e-05,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,2.158357347070705e-05,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.082645098820983,1312,139,4,16102,0.0753416791087197,0.972027971959998,0.9969604863146128,0.5236848255343589,0.0279720279700718,0.5229559690338375,1.66052859640331e-06,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.9872985134134532,17322,12,131,92,0.994716894452168,0.0839160839102156,0.9924941270836002,0.5393164891811918,0.9160839160198542,0.5415450232551416,0.0187348537147045,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLDistanceBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,5.534861884370912e-06,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.5,,NLFuzzyBasedHandler,0.0081448994702967,0,143,0,17414,0.0,0.9999999999300698,0.0,0.4999999999650349,0.0,0.5,0.0142287090420722,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
